E:\ТЕКУЩАЯСМЕНА\358\1\2019-08-26\23_54_57.zip\23_54_57.fmt;;
 Начальное значение 26.08.2019 23:54:57;
Время;Тип;Сообщение
9:08:41;3;Авария в С.1 - Бросок тока/Сраб.ВБ
9:08:41;3;Авария в С.2 - Бросок тока/Сраб.ВБ
9:08:41;3;Авария в С.3 - Cработала А6 (ББР) 
9:08:41;3;Авария в С.3 - Бросок тока/Сраб.ВБ
9:08:43;1;Срабатывание ВБ (QF1-QF4)
9:08:48;254;Запись аварии
9:08:48;1;Изменение версии ПО ЦМК в секции 1 : 9.10
9:08:48;254;KM поставили в 0
9:08:49;1;Срабатывание ВБ (QF1-QF4)
9:08:54;254;Запись аварии
9:08:54;1;Изменение версии ПО ЦМК в секции 2 : 9.10
9:08:55;1;Перегрузка в обмотке возбуждения (КА7)
9:09:00;254;Запись аварии
9:09:01;1;Изменение версии ПО ЦМК в секции 3 : 9.10
9:12:55;254;KM поставили в 0
09:17:12.070;254;KM поставили в 0
9:22:52;254;KM поставили в 0
9:23:03;254;KM поставили в 0
9:23:09;254;KM поставили в 0
9:29:38;254;KM поставили в 0
9:47:30;254;KM поставили в 0
9:52:21;254;KM поставили в 0
9:59:24;254;KM поставили в 0
10:12:56;254;KM поставили в 0
10:17:01;254;KM поставили в 0
10:20:04;254;KM поставили в 0
10:32:49;254;KM поставили в 0
10:36:33;254;KM поставили в 0
10:42:10;254;KM поставили в 0
10:46:59;254;KM поставили в 0
11:18:13;254;KM поставили в 0
11:32:55;254;KM поставили в 0
11:45:34;254;KM поставили в 0
12:00:28;254;KM поставили в 0
12:06:54;254;KM поставили в 0
12:19:33;254;KM поставили в 0
12:22:11;254;KM поставили в 0
12:30:41;254;KM поставили в 0
12:31:57;254;KM поставили в 0
12:33:55;254;KM поставили в 0
12:38:47;254;KM поставили в 0
12:44:42;254;KM поставили в 0
12:50:19;254;KM поставили в 0
12:57:08.030;254;KM поставили в 0
13:04:13;254;KM поставили в 0
13:21:10;254;KM поставили в 0
13:31:37;254;KM поставили в 0
13:41:51;254;KM поставили в 0
13:52:08;254;KM поставили в 0
13:58:37;254;KM поставили в 0
13:58:51;254;KM поставили в 0
14:05:39;254;KM поставили в 0
14:11:16;254;KM поставили в 0
14:22:39;254;KM поставили в 0
14:25:42;254;KM поставили в 0
14:29:22;254;KM поставили в 0
14:39:52;254;KM поставили в 0
14:47:16;254;KM поставили в 0
14:49:05;254;KM поставили в 0
15:07:22;254;KM поставили в 0
15:16:26;254;KM поставили в 0
15:19:07;254;KM поставили в 0
15:21:54.060;254;KM поставили в 0
15:23:47;254;KM поставили в 0
15:26:25;254;KM поставили в 0
15:34:32;3;Авария в С.2 - Бросок тока/Сраб.ВБ
15:34:34;1;Срабатывание ВБ (QF1-QF4)
15:34:39;254;Запись аварии
15:34:39;1;Изменение версии ПО ЦМК в секции 2 : 9.10
15:35:58;254;KM поставили в 0
15:39:25;254;KM поставили в 0
15:41:04;254;KM поставили в 0
15:45:09;254;KM поставили в 0
15:49:52;254;KM поставили в 0
15:51:23;254;KM поставили в 0
15:51:53;254;KM поставили в 0
15:52:56;254;KM поставили в 0
15:53:38;254;KM поставили в 0
16:02:01;254;KM поставили в 0
16:02:30;254;KM поставили в 0
16:02:44;254;KM поставили в 0
16:02:57;254;KM поставили в 0
17:19:16.080;254;KM поставили в 0
17:29:43.040;254;KM поставили в 0
17:34:58;254;KM поставили в 0
17:55:48;254;KM поставили в 0
17:56:49;254;KM поставили в 0
17:58:10;254;KM поставили в 0
18:10:45;254;KM поставили в 0
18:28:14;254;KM поставили в 0
18:40:06;254;KM поставили в 0
18:45:20;254;KM поставили в 0
18:50:14;254;KM поставили в 0
19:00:53.020;254;KM поставили в 0
19:02:47;254;KM поставили в 0
19:03:15;254;KM поставили в 0
19:09:20;254;KM поставили в 0
19:13:19.010;254;KM поставили в 0
19:24:39;254;KM поставили в 0
19:34:28;254;KM поставили в 0
19:51:48;254;KM поставили в 0
20:05:11;254;KM поставили в 0
20:55:10;254;KM поставили в 0
20:57:30;254;KM поставили в 0
21:03:29;254;KM поставили в 0
21:26:15;254;KM поставили в 0
21:32:25;254;KM поставили в 0
21:34:33;254;KM поставили в 0
21:37:52;254;KM поставили в 0
21:42:43.040;254;KM поставили в 0
21:46:06;254;KM поставили в 0
21:54:28;254;KM поставили в 0
22:05:45;254;KM поставили в 0
22:10:35;254;KM поставили в 0
22:17:31;254;KM поставили в 0
22:21:50;254;KM поставили в 0
22:26:18;254;KM поставили в 0
22:35:07;254;KM поставили в 0
22:38:55;254;KM поставили в 0
22:41:47;254;KM поставили в 0
23:03:25;254;KM поставили в 0
23:08:46;254;KM поставили в 0
23:17:34;254;KM поставили в 0
23:17:56;254;KM поставили в 0
23:38:48;254;KM поставили в 0
23:45:14;254;KM поставили в 0
23:49:24;3;Авария в С.3 - Cработала КА7      
23:49:26;1;
23:49:32;254;Запись аварии
23:49:32;1;Изменение версии ПО ЦМК в секции 3 : 9.10
23:55:19;254;KM поставили в 0
0:02:01;3;Авария в С.3 - Cработала КА7      
00:02:03.020;1;
0:02:08;254;Запись аварии
0:02:08;1;Изменение версии ПО ЦМК в секции 3 : 9.10
0:02:09;254;KM поставили в 0
0:05:14;254;KM поставили в 0
0:05:23;254;KM поставили в 0
0:11:58;3;Авария в С.3 - Бросок тока/Сраб.ВБ
0:12:01;1;Срабатывание ВБ (QF1-QF4)
0:12:06;254;Запись аварии
0:12:07;1;Изменение версии ПО ЦМК в секции 3 : 9.10
0:14:59;254;KM поставили в 0
0:15:52;3;Авария в С.3 - Cработала КА7      
0:15:54;1;
0:16:00;254;Запись аварии
0:16:00;1;Изменение версии ПО ЦМК в секции 3 : 9.10
0:20:30;254;KM поставили в 0
0:25:37;3;Авария в С.3 - Бросок тока/Сраб.ВБ
0:25:40;1;Срабатывание ВБ (QF1-QF4)
0:25:45;254;Запись аварии
00:25:46.020;2;С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
00:25:46.080;2;С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
